latitude [_N],longitude [_E],year,year day,PAR [mol quanta m-2 d-1],SST [oC],MLD [m],daylength [hr],sfce chl. [mg m-3],IPP [g C m-2 d-1]
-0.97,249.97,1992,311,41.82,22.24,10.00,12.05,0.24,0.938
-2.08,250.10,1992,311,43.95,22.74,10.01,12.09,0.26,0.595
-4.00,250.02,1992,312,49.98,23.72,22.64,12.18,0.20,0.372
-5.00,249.97,1992,313,47.07,23.74,43.09,12.22,0.18,0.420
-6.00,250.00,1992,313,49.69,24.34,62.85,12.27,0.18,0.886
-8.00,250.00,1992,314,45.74,24.34,73.67,12.36,0.16,0.570
-10.00,250.00,1992,314,44.21,24.42,67.98,12.45,0.15,0.816
-2.83,263.38,1992,317,46.54,21.74,23.34,12.13,0.22,0.636
-0.02,264.97,1992,319,44.10,21.47,19.61,12.00,0.55,0.553
1.95,265.07,1992,320,26.72,25.87,37.29,11.91,0.25,0.407
-14.00,264.99,1992,332,34.20,21.64,73.96,12.64,0.23,0.525
-10.00,264.99,1992,333,25.20,22.24,77.66,12.45,0.19,0.706
-2.01,265.00,1992,335,41.99,22.14,16.14,12.09,0.23,0.508
-1.00,265.00,1992,335,39.24,21.92,14.03,12.05,0.34,0.669
0.00,265.00,1992,336,37.42,22.02,18.26,12.00,0.27,0.485
3.01,264.99,1992,337,39.02,25.94,39.10,11.83,0.19,0.492
-4.04,255.21,1995,148,29.07,26.14,29.72,11.81,0.15,0.620
-4.60,254.77,1995,150,34.88,26.04,35.77,11.79,0.15,0.544
-4.65,254.42,1995,151,28.68,25.97,35.77,11.79,0.18,0.717
-5.29,253.24,1995,153,35.10,25.77,48.34,11.70,0.20,0.548
-6.37,252.21,1995,157,26.24,26.27,57.65,11.64,0.22,0.746
-6.86,250.90,1995,160,36.16,26.24,60.74,11.61,0.28,0.730
-7.19,250.13,1995,163,36.69,26.92,62.70,11.59,0.23,0.728
-6.84,250.70,1995,164,37.35,26.34,60.74,11.61,0.25,0.813
-6.55,250.16,1995,165,34.95,26.77,59.26,11.63,0.16,0.666
-7.37,249.19,1995,166,36.62,26.74,62.63,11.58,0.22,0.714
0.01,170.00,1996,117,33.79,28.14,13.11,12.00,0.22,1.127
0.00,174.71,1996,118,36.45,28.04,18.18,12.00,0.28,1.101
0.00,179.20,1996,120,37.93,27.72,23.97,12.00,0.24,0.897
0.00,182.65,1996,121,41.38,27.87,23.52,12.00,0.30,0.910
0.01,189.03,1996,124,35.17,27.14,27.72,12.00,0.21,0.886
0.02,195.06,1996,126,32.67,27.54,24.34,12.00,0.22,1.159
0.01,200.09,1996,127,35.43,27.57,23.61,12.00,0.36,1.073
0.00,204.37,1996,129,28.17,27.82,31.37,12.00,0.30,1.034
-0.25,210.23,1996,131,29.51,27.14,27.01,11.99,0.40,0.791
